,address,checkins,city,country,created,icon,id,latitude,longitude,title,type,updated
136,Гарибальди 23,0,1.0,1,1280742078,https://vk.com/images/places/restaraunt.png,5758,55.671406,37.554075,Ростик`с,3,1342804656.0
137,Рождественский б-р 10К7,7,1.0,1,1280742078,https://vk.com/images/places/restaraunt.png,5759,55.766177,37.626214,Рождественка,3,1526134165.0
138,3-я ул. Ямского поля 14К16,43,1.0,1,1280742078,https://vk.com/images/places/restaraunt.png,5760,55.782193,37.581739,Прогноз погоды,3,1529429327.0
139,Привольная 70К1,6,1.0,1,1280742078,https://vk.com/images/places/restaraunt.png,5761,55.677717,37.854656,Престиж,3,1452523351.0
140,Кутузовский просп. 2К1,3,1.0,1,1280742078,https://vk.com/images/places/restaraunt.png,5762,55.751506,37.565556,Лимпопо,3,1348679977.0
150,Фестивальная 3,2,1.0,1,1280742078,https://vk.com/images/places/restaraunt.png,5772,55.854643,37.472706,Мельница,3,1414360439.0
151,41-й км МКАД ,25,1.0,1,1280742078,https://vk.com/images/places/restaraunt.png,5773,55.609714,37.493914,McDonald`s,3,1504266049.0
152,Пришвина 22,33,1.0,1,1280742078,https://vk.com/images/places/restaraunt.png,5774,55.88536,37.602402,McDonald`s,3,1504338235.0
153,Пришвина 22,10,1.0,1,1280742078,https://vk.com/images/places/restaraunt.png,5775,55.885274,37.602402,Крестьянин Барон,3,1443907507.0
158,Волоколамское ш. 62,11,1.0,1,1280742078,https://vk.com/images/places/restaraunt.png,5780,55.817431,37.462802,Коми,3,1506269744.0
159,Новослободская 14К7,0,1.0,1,1280742078,https://vk.com/images/places/restaraunt.png,5781,55.780841,37.59987,Конфитюр,3,
160,Измайловское ш. 71,1,1.0,1,1280742078,https://vk.com/images/places/restaraunt.png,5782,55.789512,37.752594,Корус,3,1415521388.0
161,Покровка 31,3,1.0,1,1280742078,https://vk.com/images/places/restaraunt.png,5783,55.760737,37.649669,Корчма,3,1514414270.0
162,Щелковское ш. 2К1,63,1.0,1,1280742078,https://vk.com/images/places/restaraunt.png,5784,55.802776,37.75559,McDonald`s,3,1522961602.0
163,Мясницкая 30К1,56,1.0,1,1280742078,https://vk.com/images/places/restaraunt.png,5785,55.765397,37.638611,McDonald`s,3,1528227077.0
164,Б.Дорогомиловская 8а,96,1.0,1,1280742078,https://vk.com/images/places/restaraunt.png,5786,55.745944,37.566225,McDonald`s,3,1512411331.0
165,Можайское ш. 43К1,63,1.0,1,1280742078,https://vk.com/images/places/restaraunt.png,5787,55.71662,37.409217,McDonald`s,3,1527441208.0
166,Таганская 1К2,20,1.0,1,1280742078,https://vk.com/images/places/restaraunt.png,5788,55.741571,37.656478,McDonald`s,3,1515933398.0
167,Янтарный пр. 3,10,1.0,1,1280742078,https://vk.com/images/places/restaraunt.png,5789,55.867344,37.680302,Татами,3,1419329748.0
168,41-й км МКАД ,5,1.0,1,1280742078,https://vk.com/images/places/restaraunt.png,5790,55.609733,37.493889,Панчо Пицца,3,1461327935.0
169,Вавилова 66К1,35,1.0,1,1280742078,https://vk.com/images/places/restaraunt.png,5791,55.683178,37.549211,McDonald`s,3,1515649478.0
170,Профсоюзная 61а,20,1.0,1,1280742078,https://vk.com/images/places/restaraunt.png,5792,55.655965,37.54144,McDonald`s,3,1525516618.0
175,Шереметьевская 60а,4,1.0,1,1280742078,https://vk.com/images/places/restaraunt.png,5797,55.803363,37.618704,McDonald`s,3,1456924720.0
176,Красная Пресня 31,124,1.0,1,1280742078,https://vk.com/images/places/restaraunt.png,5798,55.762348,37.563332,McDonald`s,3,1527853339.0
177,М.Сухаревская 12,32,1.0,1,1280742078,https://vk.com/images/places/restaraunt.png,5799,55.772401,37.631496,McDonald`s,3,1480170129.0
202,66-й км МКАД ,10,1.0,1,1280742078,https://vk.com/images/places/restaraunt.png,5824,55.814739,37.390483,Баку,3,1353338964.0
203,Мясницкая 13К1,1,1.0,1,1280742078,https://vk.com/images/places/restaraunt.png,5825,55.761973,37.633297,Сити Паб,3,1508024505.0
209,ская 80,2,72.0,1,1280742078,https://vk.com/images/places/restaraunt.png,5831,55.666858,37.782952,National,3,1414399705.0
212,Новослободская 54К56,8,1.0,1,1280742078,https://vk.com/images/places/restaraunt.png,5834,55.788414,37.593084,Триумф,3,1492282085.0
253,Раушская наб. 4К5,2,1.0,1,1280742078,https://vk.com/images/places/restaraunt.png,5875,55.748397,37.626802,Violete,3,1475442001.0
263,Б. 51а ,0,1.0,1,1280742078,https://vk.com/images/places/restaraunt.png,5885,55.747338,37.645433,Море времени,3,
270,Рождественка 6К1,30,1.0,1,1280742078,https://vk.com/images/places/restaraunt.png,5892,55.761517,37.623848,От заката до заката,3,1523222638.0
296,Солянка 1К1,0,1.0,1,1280742078,https://vk.com/images/places/restaraunt.png,5918,55.75402,37.637601,Франт,3,
298,Ботаническая 14,0,1.0,1,1280742078,https://vk.com/images/places/restaraunt.png,5920,55.846295,37.58544,Катрбан,3,1281344462.0
301,Жебрунова 4,17,1.0,1,1280742078,https://vk.com/images/places/restaraunt.png,5923,55.785012,37.678397,Хижина,3,1515777053.0
307,М.Сухаревская пл. 2К4,4,1.0,1,1280742078,https://vk.com/images/places/restaraunt.png,5929,55.772943,37.628352,Хижина,3,1410675953.0
308,Медиков 1К3,2,1.0,1,1280742078,https://vk.com/images/places/restaraunt.png,5930,55.635869,37.674989,Апекс,3,1455202504.0
311,Успенский пер. 3К4,4,1.0,1,1280742078,https://vk.com/images/places/restaraunt.png,5933,55.769302,37.607107,Артс Палас,3,1403795107.0
315,Б. 13/16 К1,0,1.0,1,1280742078,https://vk.com/images/places/restaraunt.png,5937,55.747447,37.645168,Щит и меч,3,
316,пл. Европы 2,1,1.0,1,1280742078,https://vk.com/images/places/restaraunt.png,5938,55.741571,37.566288,Баланчин,3,1354293219.0
319,Варшавское ш. 14К1,5,1.0,1,1280742078,https://vk.com/images/places/restaraunt.png,5941,55.695961,37.619773,Авторадиоклуб,3,1435677567.0
324,Покровка 4,0,1.0,1,1280742078,https://vk.com/images/places/restaraunt.png,5946,55.758591,37.641544,Алекс,3,1289671223.0
325,Космодамианская наб. 52К8,6,1.0,1,1280742078,https://vk.com/images/places/restaraunt.png,5947,55.733305,37.646489,Аллегро,3,1444835198.0
326,Ореховый б-р 15,19,1.0,1,1280742078,https://vk.com/images/places/restaraunt.png,5948,55.612827,37.719926,Нияма,3,1509631504.0
330,Гоголевский б-р 8,0,1.0,1,1280742078,https://vk.com/images/places/restaraunt.png,5952,55.745878,37.600869,Ту Бир,3,
334,Садовая-Кудринская 7,6,1.0,1,1280742078,https://vk.com/images/places/restaraunt.png,5956,55.761292,37.585603,Барракуда,3,1444576366.0
335,Гарибальди 23К2,22,1.0,1,1280742078,https://vk.com/images/places/restaraunt.png,5957,55.672108,37.553352,Золотой шафран,3,1486151609.0
337,Грузинский Вал 23К25,2,1.0,1,1280742078,https://vk.com/images/places/restaraunt.png,5959,55.774249,37.579637,Духан Алаверды,3,1466544423.0
339,просп. Мира ,0,1.0,1,1280742078,https://vk.com/images/places/restaraunt.png,5961,55.810478,37.637603,Гаванский дом,3,
340,Подсосенский пер. 23,0,1.0,1,1280742078,https://vk.com/images/places/restaraunt.png,5962,55.755322,37.654754,Гаврила,3,1338313987.0
342,2-й Тушинский пр. 2,5,1.0,1,1280742078,https://vk.com/images/places/restaraunt.png,5964,55.834502,37.42076,Адмирал Бенбоу,3,1503931111.0
344,Фрунзенская наб. 2К1,4,1.0,1,1280742078,https://vk.com/images/places/restaraunt.png,5966,55.734445,37.596031,Анекдот,3,1380920544.0
